TimeStamp,Indoor_Channel,Indoor_Battery,Outdoor_Channel,Outdoor_Battery,Second_Outdoor_Channel,Second_Outdoor_Battery,Indoor_Temp,Indoor_Hum,Abs_Press,Rel_Press,Outdoor_Temp,Outdoor_Hum,Wind_Dir,Wind_Speed,Max_Daily_Gust,SolRad,Uv,Uvi,PM2_5,Hour_Rain,Event_Rain,Daily_Rain,Weekly_Rain,Monthly_Rain,Yearly_Rain
23:23 3/17/2019,0x95,Normal,0xba,Normal,0x--,- -,68.0,42,29.45,29.88,66.7,42,329,0.0,0.0,4.9,0.00,1,0,----,0.00,null,null,null,
23:23 3/17/2019,0x95,Normal,0xba,Normal,0x--,- -,68.0,42,29.45,29.88,66.7,42,329,0.0,0.0,4.9,0.00,2,0,----,0.00,null,null,null,
23:23 3/17/2019,0x95,Normal,0xba,Normal,0x--,- -,68.0,42,29.45,29.88,66.9,42,329,0.0,0.0,4.9,0.00,1,0,----,0.00,null,null,null,
23:23 3/17/2019,0x95,Normal,0xba,Normal,0x--,- -,68.0,42,29.45,29.88,66.9,42,329,0.0,0.0,4.9,0.00,2,0,----,0.00,null,null,null,
23:24 3/17/2019,0x95,Normal,0xba,Normal,0x--,- -,68.0,42,29.45,29.88,66.9,42,329,0.0,0.0,4.9,0.00,1,0,----,0.00,null,null,null,
23:24 3/17/2019,0x95,Normal,0xba,Normal,0x--,- -,68.0,42,29.45,29.88,66.7,42,329,0.0,0.0,4.9,0.00,1,0,----,0.00,null,null,null,
23:24 3/17/2019,0x95,Normal,0xba,Normal,0x--,- -,68.0,42,29.45,29.88,66.7,42,329,0.0,0.0,4.9,0.00,1,0,----,0.00,null,null,null,
23:24 3/17/2019,0x95,Normal,0xba,Normal,0x--,- -,68.0,42,29.45,29.88,66.9,42,329,0.0,0.0,4.9,0.00,1,0,----,0.00,null,null,null,
23:25 3/17/2019,0x95,Normal,0xba,Normal,0x--,- -,68.0,42,29.45,29.88,66.7,42,329,0.0,0.0,4.9,0.00,1,0,----,0.00,null,null,null,
23:25 3/17/2019,0x95,Normal,0xba,Normal,0x--,- -,68.0,42,29.45,29.88,66.7,42,329,0.0,0.0,4.9,0.00,1,0,----,0.00,null,null,null,
23:25 3/17/2019,0x95,Normal,0xba,Normal,0x--,- -,68.0,42,29.45,29.88,66.7,42,329,0.0,0.0,4.9,0.00,1,0,----,0.00,null,null,null,
23:25 3/17/2019,0x95,Normal,0xba,Normal,0x--,- -,68.0,42,29.45,29.88,66.7,42,329,0.0,0.0,4.9,0.00,1,0,----,0.00,null,null,null,
23:26 3/17/2019,0x95,Normal,0xba,Normal,0x--,- -,68.0,42,29.45,29.88,66.7,42,329,0.0,0.0,4.9,0.00,1,0,----,0.00,null,null,null,
23:26 3/17/2019,0x95,Normal,0xba,Normal,0x--,- -,68.0,42,29.45,29.88,66.7,42,329,0.0,0.0,4.9,0.00,2,0,----,0.00,null,null,null,
23:26 3/17/2019,0x95,Normal,0xba,Normal,0x--,- -,68.0,42,29.45,29.88,66.7,42,329,0.0,0.0,4.9,0.00,2,0,----,0.00,null,null,null,
23:26 3/17/2019,0x95,Normal,0xba,Normal,0x--,- -,68.0,42,29.44,29.87,66.7,42,329,0.0,0.0,4.9,0.00,1,0,----,0.00,null,null,null,
23:27 3/17/2019,0x95,Normal,0xba,Normal,0x--,- -,68.0,42,29.44,29.87,66.7,42,329,0.0,0.0,4.9,0.00,2,0,----,0.00,null,null,null,
23:27 3/17/2019,0x95,Normal,0xba,Normal,0x--,- -,68.0,42,29.44,29.87,66.7,43,329,0.0,0.0,4.9,0.00,2,0,----,0.00,null,null,null,
23:27 3/17/2019,0x95,Normal,0xba,Normal,0x--,- -,68.0,42,29.44,29.87,66.7,43,329,0.0,0.0,4.9,0.00,1,0,----,0.00,null,null,null,
23:27 3/17/2019,0x95,Normal,0xba,Normal,0x--,- -,68.0,42,29.45,29.88,66.7,42,329,0.0,0.0,4.9,0.00,1,0,----,0.00,null,null,null,
23:28 3/17/2019,0x95,Normal,0xba,Normal,0x--,- -,68.0,42,29.45,29.88,66.7,42,329,0.0,0.0,4.9,0.00,2,0,----,0.00,null,null,null,
23:28 3/17/2019,0x95,Normal,0xba,Normal,0x--,- -,68.0,42,29.45,29.88,66.7,42,329,0.0,0.0,4.9,0.00,2,0,----,0.00,null,null,null,
23:28 3/17/2019,0x95,Normal,0xba,Normal,0x--,- -,68.0,42,29.45,29.88,66.7,43,329,0.0,0.0,4.9,0.00,2,0,----,0.00,null,null,null,
23:28 3/17/2019,0x95,Normal,0xba,Normal,0x--,- -,68.0,42,29.45,29.88,66.7,43,329,0.0,0.0,4.9,0.00,1,0,----,0.00,null,null,null,
23:29 3/17/2019,0x95,Normal,0xba,Normal,0x--,- -,68.0,42,29.45,29.88,66.7,43,329,0.0,0.0,4.9,0.00,2,0,----,0.00,null,null,null,
23:29 3/17/2019,0x95,Normal,0xba,Normal,0x--,- -,68.0,42,29.45,29.88,66.7,43,329,0.0,0.0,4.9,0.00,1,0,----,0.00,null,null,null,
23:29 3/17/2019,0x95,Normal,0xba,Normal,0x--,- -,68.0,42,29.45,29.88,66.7,43,329,0.0,0.0,4.9,0.00,2,0,----,0.00,null,null,null,
23:29 3/17/2019,0x95,Normal,0xba,Normal,0x--,- -,68.0,42,29.45,29.88,66.7,43,329,0.0,0.0,4.9,0.00,0,0,----,0.00,null,null,null,
23:30 3/17/2019,0x95,Normal,0xba,Normal,0x--,- -,68.0,42,29.45,29.88,66.7,43,329,0.0,0.0,4.9,0.00,2,0,----,0.00,null,null,null,
23:30 3/17/2019,0x95,Normal,0xba,Normal,0x--,- -,68.0,42,29.45,29.88,66.7,43,329,0.0,0.0,4.9,0.00,1,0,----,0.00,null,null,null,
23:30 3/17/2019,0x95,Normal,0xba,Normal,0x--,- -,68.0,42,29.45,29.88,66.7,43,329,0.0,0.0,4.9,0.00,1,0,----,0.00,null,null,null,
23:30 3/17/2019,0x95,Normal,0xba,Normal,0x--,- -,68.0,42,29.45,29.88,66.7,43,329,0.0,0.0,4.9,0.00,1,0,----,0.00,null,null,null,
23:31 3/17/2019,0x95,Normal,0xba,Normal,0x--,- -,68.0,42,29.45,29.88,66.7,43,329,0.0,0.0,4.9,0.00,1,0,----,0.00,null,null,null,
23:31 3/17/2019,0x95,Normal,0xba,Normal,0x--,- -,68.0,42,29.45,29.88,66.7,43,329,0.0,0.0,4.9,0.00,1,0,----,0.00,null,null,null,
23:31 3/17/2019,0x95,Normal,0xba,Normal,0x--,- -,68.0,42,29.45,29.88,66.7,43,329,0.0,0.0,4.9,0.00,1,0,----,0.00,null,null,null,
23:31 3/17/2019,0x95,Normal,0xba,Normal,0x--,- -,68.0,42,29.45,29.88,66.7,43,329,0.0,0.0,4.9,0.00,2,0,----,0.00,null,null,null,
23:32 3/17/2019,0x95,Normal,0xba,Normal,0x--,- -,68.0,42,29.45,29.88,66.7,43,329,0.0,0.0,4.9,0.00,2,0,----,0.00,null,null,null,
23:32 3/17/2019,0x95,Normal,0xba,Normal,0x--,- -,68.0,42,29.45,29.88,66.7,43,329,0.0,0.0,4.9,0.00,1,0,----,0.00,null,null,null,
23:32 3/17/2019,0x95,Normal,0xba,Normal,0x--,- -,68.0,42,29.45,29.88,66.7,43,329,0.0,0.0,4.9,0.00,2,0,----,0.00,null,null,null,
23:32 3/17/2019,0x95,Normal,0xba,Normal,0x--,- -,68.0,42,29.45,29.88,66.7,43,329,0.0,0.0,4.9,0.00,1,0,----,0.00,null,null,null,
23:33 3/17/2019,0x95,Normal,0xba,Normal,0x--,- -,68.0,42,29.45,29.88,66.7,43,329,0.0,0.0,4.9,0.00,1,0,----,0.00,null,null,null,
23:33 3/17/2019,0x95,Normal,0xba,Normal,0x--,- -,68.0,42,29.45,29.88,66.7,43,329,0.0,0.0,4.9,0.00,2,0,----,0.00,null,null,null,
23:33 3/17/2019,0x95,Normal,0xba,Normal,0x--,- -,68.0,42,29.45,29.88,66.7,43,329,0.0,0.0,4.9,0.00,2,0,----,0.00,null,null,null,
23:33 3/17/2019,0x95,Normal,0xba,Normal,0x--,- -,68.0,42,29.45,29.88,66.7,43,329,0.0,0.0,4.9,0.00,2,0,----,0.00,null,null,null,
23:34 3/17/2019,0x95,Normal,0xba,Normal,0x--,- -,68.0,42,29.45,29.88,66.7,43,329,0.0,0.0,4.9,0.00,1,0,----,0.00,null,null,null,
23:34 3/17/2019,0x95,Normal,0xba,Normal,0x--,- -,68.0,42,29.45,29.88,66.7,43,329,0.0,0.0,4.9,0.00,2,0,----,0.00,null,null,null,
23:34 3/17/2019,0x95,Normal,0xba,Normal,0x--,- -,68.0,42,29.45,29.88,66.7,43,329,0.0,0.0,4.9,0.00,2,0,----,0.00,null,null,null,
23:34 3/17/2019,0x95,Normal,0xba,Normal,0x--,- -,68.0,42,29.46,29.88,66.7,43,329,0.0,0.0,4.9,0.00,2,0,----,0.00,null,null,null,
